@relation RSN
@attribute F1 numeric
@attribute F2 {1,2,3,4}
@attribute F3 {1,2,3}
@attribute F4 {1,2}
@attribute F5 {1,2,3,4,5,6,7,8,9,10}
@attribute F6 numeric
@attribute pStage {1,2,3,4,5}
@attribute F8 {1,2,3,4,5,6,7,8,9}
@attribute F9 {1,2}
@attribute F10 {1,2}
@attribute F11 {1,2}
@attribute F12 {1,2}
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute BMI numeric
@attribute F18 {1,2,3}
@attribute F19 {1,2,3}
@attribute F20 {1,2,3}
@attribute class {1,2}
@data
70,4,2,2,4,11,5,6,2,1,2,1,2,3,3,3,3,2,2,2,1
50,2,1,2,2,2,1,9,2,2,2,1,1,1,1,1,3,2,2,2,1
53,1,1,2,2,2,2,1,1,1,2,1,3,3,3,3,4,2,2,2,1
86,3,1,2,2,2,2,1,2,2,2,2,1,1,1,1,4,2,2,2,1
43,4,3,2,9,2,5,6,2,2,2,2,1,1,1,1,2,2,2,2,2
66,2,2,2,2,2,1,1,1,1,2,1,2,2,1,1,4,2,2,2,2
53,1,1,2,3,2,2,1,1,1,2,1,3,3,2,2,3,2,2,2,1
49,1,1,1,9,11,1,1,2,2,2,2,1,1,1,1,1,2,2,3,1
50,4,2,2,1,2,5,6,2,2,2,1,1,1,1,1,2,2,2,2,2
59,4,2,2,2,2,5,6,2,1,2,1,3,3,2,2,3,1,1,1,1
41,4,2,2,2,2,5,6,2,2,2,2,1,1,1,1,3,1,1,1,2
83,2,2,2,2,2,5,6,2,1,2,1,3,3,3,3,2,2,2,2,2
52,4,2,2,2,11,5,6,2,2,2,2,1,1,1,1,4,2,2,2,2
66,3,3,2,9,11,3,9,2,2,2,1,1,1,1,1,4,2,2,2,1
58,3,1,1,10,10,5,1,2,2,2,2,1,1,1,1,3,1,1,3,1
58,3,1,2,2,11,1,1,2,2,2,2,1,1,1,1,3,1,1,3,1
40,3,1,2,1,2,4,6,1,1,2,1,2,2,1,1,2,2,2,2,2
70,1,1,2,2,2,3,1,2,2,2,1,1,1,1,1,3,2,2,2,1
59,4,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,1,1,1,1
76,3,1,2,9,2,1,1,2,2,2,2,1,1,1,1,4,3,3,3,1
81,1,3,2,9,2,1,1,2,2,2,2,1,1,1,1,4,2,2,2,2
74,4,2,2,1,2,5,1,2,2,2,2,1,1,1,1,4,2,2,2,1
50,1,1,2,2,2,2,1,1,1,2,1,3,2,3,3,3,2,2,2,1
58,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,4,2,2,2,1
42,1,1,2,2,2,2,1,1,1,2,1,3,3,2,2,3,2,2,2,2
43,1,3,2,9,11,1,9,2,2,2,2,1,1,1,1,4,2,2,2,1
67,2,1,2,3,2,4,1,1,1,2,1,2,2,1,1,3,1,2,2,2
55,4,2,2,4,2,5,6,2,2,2,2,1,1,1,1,4,1,1,1,2
63,1,3,2,9,11,5,9,1,1,2,1,1,1,1,1,4,2,2,3,1
64,3,3,2,9,11,5,9,2,2,2,1,1,1,1,1,4,2,2,2,1
54,3,1,2,2,2,5,6,2,2,2,2,1,1,1,1,4,2,2,2,2
65,3,1,1,10,10,5,1,2,2,2,2,1,1,1,1,4,2,2,2,1
