@relation RNUM
@attribute F1 numeric
@attribute F6 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute BMI numeric
@attribute class {1,2}
@data
63,2,1,1,1,1,3,2
46,2,1,1,1,1,3,1
35,2,1,1,1,1,3,1
45,2,1,1,1,1,4,2
86,2,1,1,1,1,3,2
45,2,1,1,1,1,2,2
40,2,1,1,1,1,2,2
50,2,1,1,1,1,4,1
45,2,1,1,1,1,3,1
54,2,1,1,1,1,3,1
56,10,1,1,1,1,4,1
78,2,3,2,3,3,4,2
43,2,1,1,1,1,4,1
58,2,1,1,1,1,2,1
41,2,1,1,1,1,3,1
44,10,1,1,1,1,2,1
48,2,1,1,1,1,4,1
58,11,1,1,1,1,4,1
47,2,2,2,1,1,4,1
38,2,3,3,2,2,2,1
38,11,1,1,1,1,4,1
81,2,1,1,1,1,2,2
70,2,1,1,1,1,3,1
54,2,1,1,1,1,3,1
42,2,1,1,1,1,3,1
63,2,1,1,1,1,3,1
45,2,3,3,3,3,3,2
47,2,1,1,1,1,4,2
77,2,2,3,3,3,4,1
57,2,1,1,1,1,4,1
62,2,1,1,1,1,3,2
52,2,3,3,3,3,2,2
41,11,1,1,1,1,4,2
52,2,1,1,1,1,3,1
39,2,3,3,2,2,4,1
59,11,3,3,2,2,4,2
59,11,1,1,1,1,4,1
56,6,3,3,3,3,3,1
50,2,1,1,1,1,4,1
63,2,1,1,1,1,2,1
72,2,1,1,1,1,4,1
37,2,2,2,2,2,2,1
65,2,1,1,1,1,4,1
38,10,1,1,1,1,3,2
45,2,2,2,2,2,4,1
66,2,1,1,1,1,4,1
58,10,1,1,1,1,4,1
58,10,1,1,1,1,4,1
35,2,3,3,3,3,3,2
66,11,1,1,1,1,4,1
65,2,1,1,1,1,4,1
64,2,1,1,1,1,2,1
47,2,2,2,1,1,2,1
50,2,1,1,1,1,3,1
39,2,1,1,1,1,4,1
69,11,1,1,1,1,4,1
51,11,1,1,1,1,3,1
55,5,1,1,1,1,3,2
55,2,1,1,1,1,3,2
58,2,1,1,1,1,3,2
55,2,2,2,1,1,3,2
41,2,1,1,1,1,2,1
42,2,2,2,2,2,2,1
42,11,2,2,2,3,1,2
45,11,1,1,1,1,4,2
57,2,1,1,1,1,4,1
63,2,1,1,1,1,4,1
64,10,1,1,1,1,4,1
45,2,1,1,1,1,2,2
60,2,1,1,1,1,2,1
42,2,1,1,1,1,4,1
90,2,1,1,1,1,1,2
66,2,1,1,1,1,2,2
59,2,1,1,1,1,3,1
42,2,3,2,3,3,2,1
63,2,3,3,3,3,3,2
81,2,1,1,1,1,3,1
81,10,1,1,1,1,4,1
83,2,1,1,1,1,2,1
39,2,3,2,3,3,3,1
45,2,3,3,3,3,4,2
83,11,1,1,1,1,2,2
58,2,1,1,1,1,4,2
73,2,1,1,1,1,4,2
46,2,1,1,1,1,4,1
59,11,1,1,1,1,4,1
76,2,1,1,1,1,2,1
76,2,1,1,1,1,3,1
64,11,1,1,1,1,4,1
29,2,1,1,1,1,3,2
56,2,1,1,1,1,4,2
40,2,1,1,1,1,4,2
57,2,2,2,2,2,3,2
53,2,1,1,1,1,3,1
72,11,1,1,1,1,3,2
42,2,3,3,3,3,4,2
49,2,1,1,1,1,3,1
33,10,1,1,1,1,4,1
44,2,3,2,3,3,4,1
47,2,2,2,1,1,4,1
39,10,1,1,1,1,4,1
57,11,1,1,1,1,4,1
75,2,1,1,1,1,3,1
75,2,3,3,2,2,3,1
66,2,1,1,1,1,2,1
57,2,1,1,1,1,4,1
62,10,1,1,1,1,2,2
79,2,1,1,1,1,4,2
84,2,2,2,3,1,4,1
48,2,1,1,1,1,3,2
47,2,1,1,1,1,3,1
49,11,1,1,1,1,4,1
51,2,1,1,1,1,4,1
70,2,1,1,1,1,4,1
46,11,1,1,1,1,4,2
44,2,1,1,1,1,4,1
61,11,1,1,1,1,4,2
41,10,1,1,1,1,4,1
55,2,1,1,1,1,3,1
74,10,1,1,1,1,4,1
64,2,2,2,2,2,1,1
68,2,3,2,3,3,3,1
49,2,1,1,1,1,4,1
49,2,3,3,3,3,2,1
49,2,1,1,1,1,2,1
92,2,1,1,1,1,2,1
45,2,2,2,2,2,2,1
59,2,1,1,1,1,4,2
45,2,1,1,1,1,4,2
46,2,1,1,1,1,4,1
72,2,1,1,1,1,4,1
54,2,1,1,1,1,4,1
59,2,1,1,1,1,4,2
45,2,3,3,2,2,3,1
51,11,1,1,1,1,4,2
43,2,1,1,1,1,3,1
57,2,1,1,1,1,3,1
76,2,1,1,1,1,4,1
48,10,1,1,1,1,4,1
50,2,1,1,1,1,4,1
50,2,1,1,1,1,4,1
78,2,1,1,1,1,2,2
54,10,1,1,1,1,2,2
54,2,1,1,1,1,2,1
59,11,1,1,1,1,4,1
56,2,1,1,1,1,3,1
40,2,2,3,3,3,4,1
89,2,1,1,1,1,2,2
66,2,1,1,1,1,4,2
53,11,1,1,1,1,4,1
56,2,3,3,3,3,4,1
42,2,1,1,1,1,4,2
50,2,2,2,1,1,4,2
83,2,1,1,1,1,3,1
50,11,1,1,1,1,4,2
52,11,1,1,1,1,4,1
86,11,1,1,1,1,1,2
68,2,3,3,2,2,3,1
35,11,1,1,1,1,4,2
55,2,2,2,2,2,3,1
76,2,1,1,1,1,2,1
58,11,1,1,1,1,4,1
74,2,1,1,1,1,3,2
68,2,1,1,1,1,4,1
48,2,2,2,1,1,4,1
67,10,1,1,1,1,3,1
40,10,1,1,1,1,4,1
42,2,2,2,2,2,3,1
54,10,1,1,1,1,2,2
60,2,1,1,1,1,4,2
55,2,1,1,1,1,2,1
54,11,3,3,3,2,4,1
69,2,1,1,1,1,3,1
47,10,1,1,1,1,4,1
60,2,1,1,1,1,2,2
33,2,1,1,1,1,4,2
58,11,1,1,1,1,4,2
53,11,1,1,1,1,4,1
49,2,1,1,1,1,2,1
51,2,1,1,1,1,2,1
79,2,1,1,1,1,4,2
48,2,3,3,3,2,4,2
50,2,1,1,1,1,4,1
68,2,2,2,3,1,4,1
51,2,1,1,1,1,2,2
43,10,1,1,1,1,4,1
70,2,1,1,1,1,4,1
44,2,1,1,1,1,4,1
47,2,2,2,1,1,4,1
60,10,1,1,1,1,4,1
37,11,1,1,1,1,4,1
47,11,1,1,1,1,4,1
74,2,2,2,3,1,4,2
42,2,1,1,1,1,4,2
36,2,1,1,1,1,3,2
68,2,1,1,1,1,3,1
57,2,3,3,3,3,4,1
40,2,1,1,1,1,4,1
36,2,1,1,1,1,4,2
37,11,1,1,1,1,4,2
81,11,1,1,1,1,3,2
84,2,1,1,1,1,4,2
62,10,1,1,1,1,4,1
62,10,1,1,1,1,4,1
61,11,1,1,1,1,4,1
56,2,1,1,1,1,4,2
58,2,2,2,1,1,2,1
74,2,1,1,1,1,3,1
60,10,1,1,1,1,4,1
87,2,1,1,1,1,2,1
59,2,3,2,3,3,3,1
76,2,1,1,1,1,3,1
76,2,1,1,1,1,3,1
46,10,1,1,1,1,4,1
54,2,1,1,1,1,4,2
85,2,1,1,1,1,4,2
57,2,1,1,1,1,2,1
56,11,1,1,1,1,4,1
40,2,1,1,1,1,4,2
72,2,1,1,1,1,3,2
47,2,1,1,1,1,3,1
53,11,1,1,1,1,2,1
33,2,1,1,1,1,4,2
50,11,1,1,1,1,4,1
51,2,2,2,2,2,3,1
80,2,1,1,1,1,2,1
58,11,1,1,1,1,3,2
78,11,3,3,3,1,4,1
45,2,1,1,1,1,4,1
91,2,1,1,1,1,2,2
59,10,1,1,1,1,4,1
72,11,1,1,1,1,4,1
55,2,2,2,1,1,2,1
39,2,1,1,1,1,2,1
83,2,1,1,1,1,3,2
58,11,1,1,1,1,3,1
58,11,1,1,1,1,3,1
48,2,3,3,2,2,3,2
45,2,2,2,1,1,4,1
48,2,3,3,2,2,3,2
63,11,1,1,1,1,4,2
54,11,1,1,1,1,4,1
41,10,1,1,1,1,4,1
42,2,1,1,1,1,3,1
41,10,1,1,1,1,2,1
74,2,1,1,1,1,4,1
60,2,1,1,1,1,2,1
68,2,1,1,1,1,4,2
51,2,1,1,1,1,4,1
52,2,1,1,1,1,2,1
68,10,1,1,1,1,2,1
57,11,1,1,1,1,4,2
50,2,1,1,1,1,3,1
58,11,3,3,3,2,4,1
56,2,1,1,1,1,4,1
79,11,1,1,1,1,4,2
78,11,1,1,1,1,4,2
88,2,1,1,1,1,4,1
61,11,1,1,1,1,4,1
71,2,1,1,1,1,3,1
48,11,1,1,1,1,4,1
54,11,1,1,1,1,4,1
75,7,2,2,2,2,4,2
57,2,3,3,1,1,4,1
74,2,1,1,1,1,3,1
60,2,1,1,1,1,3,2
61,2,1,1,1,1,3,2
60,11,1,1,1,1,4,2
70,2,1,1,1,1,1,2
45,2,1,1,1,1,4,2
81,2,1,1,1,1,2,2
58,2,1,1,1,1,2,1
57,2,1,1,1,1,4,2
56,2,3,3,3,3,4,2
64,2,1,1,1,1,3,1
85,2,1,1,1,1,4,1
67,2,1,1,1,1,2,1
32,2,1,1,1,1,4,1
57,11,3,3,3,3,3,2
41,2,1,1,1,1,4,1
41,11,1,1,1,1,4,2
80,2,1,1,1,1,2,1
56,2,1,1,1,1,4,2
86,2,1,1,1,1,4,2
47,2,3,3,3,3,4,1
46,2,1,1,1,1,2,2
73,2,1,1,1,1,4,1
74,2,1,1,1,1,3,1
54,2,2,2,2,2,2,2
29,2,2,3,2,2,4,1
56,2,2,2,2,2,3,1
82,2,1,1,1,1,2,1
70,10,1,1,1,1,4,1
38,11,1,1,1,1,4,1
